id,latitude,longitude,trigger_index,distance,magnitude,magtype
ci40187394,33.9188333,-118.6628333,1171.261796966662,259.2113286430112,2.69,ml
ci40187458,34.1705,-117.2688333,951.5687061299675,192.06142691847103,2.61,ml
ci40187722,32.267,-115.0941667,494.4214378800348,124.19305012583158,2.8,ml
ci40187986,34.0141667,-117.5843333,1840.0586786902775,192.6777972545407,2.04,ml
ci40188018,35.0363333,-116.984,730.7224040615946,274.6328115979214,3.15,ml
ci40188098,31.6008333,-115.973,365.0636951140825,119.50020363368007,3.03,ml
ci40188122,34.4576667,-116.476,1905.3008966313043,204.1566693026964,2.06,ml
ci40188442,35.3403333,-117.8001667,1271.234411226194,330.5412311374562,2.83,ml
ci40188706,35.5231667,-117.3921667,2704.141513031838,336.5343625265703,2.19,ml
us7000peps,34.3126,-111.0201,1672.3200676203853,528.8340390487218,3.0,ml
ci40189546,33.6225,-117.7855,1464.6839199796084,174.0780101386948,2.15,ml
nc75136627,36.6733333333333,-121.302666666667,3678.8584829257306,639.3123320480005,2.48,md
ci40190394,31.615,-114.4806667,330.9284605803244,208.80174270067977,3.6,ml
ci40190426,31.6205,-114.4846667,614.2934813982517,208.14975632620354,3.06,ml
ci40190434,31.6243333,-114.4836667,325.8793010099556,207.99685873995344,3.61,ml
ci40190450,31.6141667,-114.4816667,691.3127635444773,208.77311696020163,2.96,ml
ci40190570,31.636,-114.501,636.3288603435565,205.91198292843416,3.02,ml
nc75137016,36.702,-121.331333333333,5413.231982636719,643.3638268997048,2.15,md
nc75137021,36.7003333333333,-121.3315,1751.3700883866738,643.2472350861914,3.13,ml
nc75137061,36.698,-121.3285,1596.3422653280086,642.8742228612807,3.21,ml
nc75137066,36.6965,-121.324666666667,2587.5006017165865,642.5108404094665,2.79,md
nc75137126,36.68,-121.339833333333,2901.988695871385,642.2375830168327,2.69,md
nc75137131,36.6941666666667,-121.330333333333,2009.1322288577185,642.7003261616333,3.01,ml
nc75137161,36.6953333333333,-121.325333333333,737.6484139431939,642.464910733373,3.88,mw
nc75137171,36.6986666666667,-121.334166666667,3224.102161488144,643.2929542427003,2.6,md
nc75137201,36.6926666666667,-121.326,3145.870883153083,642.3043951164693,2.62,md
nc75137281,36.856,-121.605666666667,3828.016981411769,672.9361446258624,2.49,md
ci40191618,31.6203333,-114.484,919.4064061159625,208.2128483975107,2.71,ml
nc75137306,36.694,-121.3345,2905.244899155632,642.9582116430093,2.69,md
nc75137301,36.6961666666667,-121.335166666667,2154.3869786946702,643.1669440618247,2.95,md
nc75137316,36.6961666666667,-121.332666666667,5049.101225920863,643.0045967575222,2.21,md
nc75137326,36.6983333333333,-121.335833333333,3967.022424381573,643.3757024311336,2.42,md
nc75137321,36.6955,-121.330166666667,2443.824578655729,642.7913567045381,2.84,md
ci40191850,32.1061667,-117.3163333,878.9118689108018,108.12978246173053,2.18,ml
ci40191930,34.0803333,-116.7825,373.4554616207666,166.81642710516013,3.3,ml
ci40191938,35.4836667,-118.443,1822.9491888188081,372.19845300158994,2.62,ml
ci40192026,32.4515,-116.2901667,148.07480208219036,20.206037787509956,2.27,ml
